date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:12	262326/262326	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2006:24:38%20GMT	https://rainbowit.net/html/inbio/	C:/My%20Web%20Sites/web/rainbowit.net/html/inbio/index.html	(from )
12:31:12	1076/1076	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jan%202022%2007:01:12%20GMT	https://rainbowit.net/robots.txt		(from )
12:31:13	15406/15406	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2017%20Jul%202021%2010:49:48%20GMT	https://rainbowit.net/html/inbio/assets/images/favicon.ico	C:/My%20Web%20Sites/web/rainbowit.net/html/inbio/assets/images/favicon.ico	(from https://rainbowit.net/html/inbio/)
12:31:13	195892/195892	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Nov%202021%2004:15:22%20GMT	https://rainbowit.net/html/inbio/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/web/rainbowit.net/html/inbio/assets/css/vendor/bootstrap.min.css	(from https://rainbowit.net/html/inbio/)
12:31:13	1293/1293	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Nov%202021%2004:15:22%20GMT	https://rainbowit.net/html/inbio/assets/css/vendor/slick.css	C:/My%20Web%20Sites/web/rainbowit.net/html/inbio/assets/css/vendor/slick.css	(from https://rainbowit.net/html/inbio/)
12:31:14	2438/2438	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Nov%202021%2004:15:22%20GMT	https://rainbowit.net/html/inbio/assets/css/vendor/slick-theme.css	C:/My%20Web%20Sites/web/rainbowit.net/html/inbio/assets/css/vendor/slick-theme.css	(from https://rainbowit.net/html/inbio/)
12:31:14	42040/42040	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Nov%202021%2004:15:20%20GMT	https://rainbowit.net/html/inbio/assets/css/vendor/aos.css	C:/My%20Web%20Sites/web/rainbowit.net/html/inbio/assets/css/vendor/aos.css	(from https://rainbowit.net/html/inbio/)
12:31:14	11484/11484	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Nov%202021%2004:15:20%20GMT	https://rainbowit.net/html/inbio/assets/css/plugins/feature.css	C:/My%20Web%20Sites/web/rainbowit.net/html/inbio/assets/css/plugins/feature.css	(from https://rainbowit.net/html/inbio/)
12:31:15	262326/262326	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2006:24:38%20GMT	https://rainbowit.net/html/inbio/index.html	C:/My%20Web%20Sites/web/rainbowit.net/html/inbio/index-2.html	(from https://rainbowit.net/html/inbio/)
12:31:15	427684/427684	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Nov%202021%2006:32:52%20GMT	https://rainbowit.net/html/inbio/assets/css/style.css	C:/My%20Web%20Sites/web/rainbowit.net/html/inbio/assets/css/style.css	(from https://rainbowit.net/html/inbio/)
